name,country,lat,lon,avg_temp,annual_rain,annual_snow,rain_days,snow_days,sunny_days,hot_days,frost_days,windy_days,muggy_days,avg_humidity,temp_seasonality,temp_amplitude
Shanghai,China,31.22222,121.45806,18.9,1120.0,0.0,110,0,270,116,11,1,104,68.8,9.1,35.4
Beijing,China,39.9075,116.39723,14.4,701.0,7.0,62,2,303,81,98,2,63,49.2,11.3,43.1
Shenzhen,China,22.54554,114.0683,22.8,1871.0,0.0,159,0,276,121,0,3,217,75.8,5.1,20.0
Guangzhou,China,23.11667,113.25,23.3,2092.0,0.0,167,0,264,147,0,3,196,72.5,5.4,22.2
Kinshasa,"Congo, Democratic Republic of the",-4.32758,15.31357,26.1,1815.0,0.0,181,0,316,228,0,0,269,75.9,1.1,6.7
Istanbul,Turkey,41.01384,28.94966,16.1,615.0,20.0,79,7,307,34,5,5,15,69.5,7.3,33.2
Lagos,Nigeria,6.45407,3.39467,27.1,1204.0,0.0,219,0,335,135,0,0,363,82.8,1.3,4.9
Ho Chi Minh City,Viet Nam,10.82302,106.62965,27.4,2655.0,0.0,235,0,333,329,0,0,282,78.8,1.2,6.6
Chengdu,China,30.66667,104.06667,18.2,1198.0,0.0,159,0,170,84,2,0,100,74.0,8.2,32.7
Lahore,Pakistan,31.558,74.35071,24.3,869.0,0.0,76,0,331,203,0,0,88,62.9,7.4,30.0
Mumbai,India,19.07283,72.88261,27.3,2668.0,0.0,159,0,309,221,0,2,194,68.2,1.7,8.6
Sao Paulo,Brazil,-23.5475,-46.63611,20.1,1285.0,0.0,158,0,312,68,0,3,118,73.5,3.6,17.7
Mexico City,Mexico,19.42847,-99.12766,17.5,1400.0,0.0,150,0,353,10,0,0,1,59.6,2.4,12.4
Karachi,Pakistan,24.8608,67.0104,26.6,341.0,0.0,45,0,346,225,0,0,173,62.8,3.7,14.8
Tianjin,China,39.14222,117.17667,14.8,694.0,6.0,57,2,307,86,94,2,58,52.3,11.1,41.2
Delhi,India,28.65195,77.23149,25.3,746.0,0.0,85,0,337,220,0,0,95,61.1,6.5,26.9
Wuhan,China,30.58333,114.26667,19.3,1350.0,1.0,108,0,250,108,6,3,99,70.2,9.1,35.4
Moscow,Russian Federation,55.75204,37.61781,8.1,549.0,92.0,111,24,186,8,107,0,9,74.6,9.3,41.2
Dhaka,Bangladesh,23.7104,90.40744,26.5,1514.0,0.0,161,0,327,250,0,1,209,73.3,3.4,17.5
Seoul,"Korea, Republic of",37.566,126.9784,12.7,1271.0,44.0,95,16,270,50,108,0,77,70.6,11.2,43.4
Tokyo,Japan,35.6895,139.69171,16.9,1304.0,13.0,121,3,269,81,16,2,73,68.5,9.0,30.9
Dongguan,China,23.01797,113.74866,23.2,1905.0,0.0,166,0,265,146,0,2,202,73.7,5.3,21.8
Cairo,Egypt,30.06263,31.24967,24.0,9.0,0.0,2,0,358,194,0,0,0,47.5,6.1,23.9
Xi'an,China,34.25833,108.92861,16.1,645.0,24.0,80,4,270,106,78,0,33,60.5,10.8,45.2
Johannesburg,South Africa,-26.20227,28.04363,16.2,942.0,9.0,140,3,328,7,3,1,12,62.6,4.1,20.3
Nanjing,China,32.06167,118.77778,18.1,1114.0,0.0,103,0,266,104,21,0,104,69.2,9.5,38.3
Hangzhou,China,30.29365,120.16142,19.2,1468.0,0.0,140,0,263,138,19,1,109,68.7,9.2,36.0
Foshan,China,23.02677,113.13148,23.4,2107.0,0.0,169,0,267,153,0,3,200,72.4,5.4,22.2
London,United Kingdom,51.50853,-0.12574,12.4,601.0,9.0,98,4,246,7,21,9,1,73.6,6.0,30.4
New York City,United States,40.71427,-74.00597,12.5,1046.0,49.0,107,13,275,47,91,3,34,66.1,10.3,46.6
Jakarta,Indonesia,-6.21462,106.84513,27.4,2853.0,0.0,301,0,328,303,0,0,324,79.4,1.0,5.8
Bengaluru,India,12.97194,77.59369,23.3,1035.0,0.0,153,0,327,105,0,1,191,69.3,2.2,10.0
Hanoi,Viet Nam,21.0245,105.84117,24.0,2490.0,0.0,177,0,222,153,0,2,235,79.9,4.8,19.2
Taipei,"Taiwan, China",25.05306,121.52639,22.8,1989.0,0.0,176,0,228,142,0,2,176,78.5,5.6,21.7
Lima,Peru,-12.04318,-77.02824,19.0,61.0,0.0,12,0,358,0,0,0,42,81.9,2.5,9.4
Bogota,Colombia,4.60971,-74.08175,14.1,1053.0,0.0,193,0,360,0,0,0,0,77.0,0.7,3.9
Chongqing,China,29.56026,106.55771,19.6,1611.0,0.0,165,0,192,111,0,0,124,79.0,8.2,30.5
Hong Kong,"Hong Kong, China",22.27832,114.17469,23.1,2030.0,0.0,163,0,276,98,0,6,214,78.1,4.9,18.8
Baghdad,Iraq,33.34058,44.40088,26.5,137.0,0.0,22,0,344,216,0,0,0,31.6,10.4,37.9
Wuzhong,China,37.9867,106.201,11.6,331.0,18.0,49,4,315,70,136,24,11,45.9,11.1,46.6
Qingdao,China,36.06488,120.38042,15.1,918.0,4.0,87,2,306,41,52,17,92,67.5,9.6,37.1
Tehran,"Iran, Islamic Rep. of",35.69439,51.42151,19.6,104.0,20.0,20,4,341,143,40,0,0,29.5,10.7,36.4
Shenyang,China,41.79222,123.43278,10.2,770.0,34.0,79,9,309,45,131,0,68,59.7,13.2,52.6
Hyderabad,India,17.38405,78.45636,26.3,840.0,0.0,113,0,324,186,0,0,133,60.3,2.8,12.5
Rio de Janeiro,Brazil,-22.90642,-43.18223,23.5,624.0,0.0,109,0,330,99,0,1,197,77.8,3.2,14.7
Suzhou,China,31.30408,120.59538,18.5,976.0,0.0,114,0,279,118,17,3,115,69.9,9.3,36.4
Ahmedabad,India,23.02579,72.58727,28.4,946.0,0.0,91,0,327,297,0,0,106,52.9,4.0,17.3
Abidjan,Côte d'Ivoire,5.35444,-4.00167,26.1,1252.0,0.0,288,0,337,110,0,0,364,83.9,1.3,5.3
Pudong,China,31.23995,121.50094,18.8,1115.0,0.0,111,0,272,117,13,1,106,69.2,9.1,35.5
Singapore,Singapore,1.28967,103.85007,27.5,2252.0,0.0,252,0,319,243,0,0,347,80.1,1.3,7.0
